"Wavelength","ATTO 390 EM"
670,0.00462770563939393
671,0.00437229446060605
672,0.00413852829696969
673,0.00396969717878787
674,0.00390909113636363
675,0.00400000019999999
676,0.0040909093090909
677,0.00403030323636363
678,0.00386147203376623
679,0.00362770575324675
680,0.00337229444675324
681,0.00313852816623376
682,0.00296969696363636
683,0.00290909089090909
684,0.003
685,0.003
686,0.003
687,0.003
688,0.00309090908181818
689,0.00303030302727272
690,0.00286147187532467
691,0.00262770566493506
692,0.00237229443506493
693,0.00213852822467532
694,0.00196969707272727
695,0.00190909101818182
696,0.0020000001
697,0.0020000001
698,0.0020000001
699,0.0020000001
700,0.0020000001
701,0.0020000001
702,0.0020000001
703,0.0020000001
704,0.0020000001
705,0.0020000001
706,0.0020000001
707,0.0020000001
708,0.0020000001
709,0.0020909092
710,0.00203030313333333
